portfolio_run_id,gate_threshold,max_assets,high_corr_scale,execution_delay_bars,latency_lookback_bars,total_trades,gated_signals_count,gated_cluster_window_count,portfolio_net_pnl,portfolio_profit_factor
portfolio_fea9da1e5fe2,0.7,1,0.25,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_f89e0dd768b2,0.7,1,0.25,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_592e34a9f5e9,0.7,1,0.25,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_188b78f154e8,0.7,1,0.25,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_dfb51b92ed03,0.7,1,0.25,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_eb3114d41dcb,0.7,1,0.25,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_1cd589af7312,0.7,1,0.25,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_ac98c87f7eca,0.7,1,0.25,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_d61f0e677201,0.7,1,0.25,2,2,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_d228608e8053,0.7,1,0.4,0,0,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_32fa65791f77,0.7,1,0.4,0,1,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_71e001611a4e,0.7,1,0.4,0,2,11,4,0,-10.319065136644944,0.5419838928218692
portfolio_c8d593a70ae7,0.7,1,0.4,1,0,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_b5f7a0eaac43,0.7,1,0.4,1,1,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_dfce29968394,0.7,1,0.4,1,2,11,4,0,-22.15498650555093,0.16701487006174648
portfolio_fbf0c1211a40,0.7,1,0.4,2,0,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_ada916228d28,0.7,1,0.4,2,1,11,4,0,-33.706652719036434,0.08964306473430372
portfolio_8db630a9fda2,0.7,1,0.4,2,2,11,4,0,-33.706652719036434,0.08964306473430372
