rowid,portfolio_run_id,total_trades,gated_signals_count,portfolio_net_pnl,portfolio_profit_factor,gate_threshold,max_assets,high_corr_scale,execution_delay_bars
1,portfolio_01494e345506,11,4,-10.319065136644944,0.5419838928218692,0.7,1,0.25,0
2,portfolio_a29077dcd7c9,11,4,-22.15498650555093,0.16701487006174648,0.7,1,0.25,1
3,portfolio_e3ad3ec3f168,11,4,-33.706652719036434,0.08964306473430372,0.7,1,0.25,2
4,portfolio_923ed4763a32,11,4,-10.319065136644944,0.5419838928218692,0.7,1,0.4,0
5,portfolio_4604956f5499,11,4,-22.15498650555093,0.16701487006174648,0.7,1,0.4,1
6,portfolio_0b61d4f3183e,11,4,-33.706652719036434,0.08964306473430372,0.7,1,0.4,2
7,portfolio_200bb5a49150,11,4,-10.319065136644944,0.5419838928218692,0.7,1,0.5,0
8,portfolio_a45783b6115b,11,4,-22.15498650555093,0.16701487006174648,0.7,1,0.5,1
9,portfolio_c80b7af58bf4,11,4,-33.706652719036434,0.08964306473430372,0.7,1,0.5,2
10,portfolio_b3f77fa7488a,11,4,-10.319065136644944,0.5419838928218692,0.7,1,0.6,0
11,portfolio_258427260a77,11,4,-22.15498650555093,0.16701487006174648,0.7,1,0.6,1
12,portfolio_7acab990b0ba,11,4,-33.706652719036434,0.08964306473430372,0.7,1,0.6,2
13,portfolio_e66ffa549959,15,3,-8.730483028485855,0.7042586538378387,0.7,2,0.25,0
14,portfolio_27bf74ef08db,18,0,-30.021457100808522,0.3013422399469477,0.7,2,0.25,1
15,portfolio_32fe81816d77,18,0,-47.80235033396764,0.12923862936668454,0.7,2,0.25,2
16,portfolio_17c6c9877e59,15,3,-8.730483028485855,0.7042586538378387,0.7,2,0.4,0
17,portfolio_4c097435d400,18,0,-30.021457100808522,0.3013422399469477,0.7,2,0.4,1
18,portfolio_c7d56de305d0,18,0,-47.80235033396764,0.12923862936668454,0.7,2,0.4,2
19,portfolio_c0655482c862,15,3,-8.730483028485855,0.7042586538378387,0.7,2,0.5,0
