strategy,total_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown,total_trades,win_rate,final_value,lookback,num_std
Mean Reversion (BB 1.5σ),-0.9999999996470876,-0.0207148438158149,0.9194433017192211,-0.022529767498530088,-0.021921467278935736,-0.9999999997274317,18501,0.1674331446716103,3.5291238087920844e-10,195,1.5
Mean Reversion (BB 2.0σ),-0.9999995720079411,-0.014004343899637783,0.6204162278698664,-0.022572497737075994,-0.01493520629149861,-0.9999995894865481,12484,0.07593284507730297,4.2799205892125475e-07,195,2.0
Mean Reversion (BB 2.5σ),-0.998542211183088,-0.006261377925510958,0.36340228163120847,-0.017229880608909308,-0.006786806989252845,-0.9985903269321346,6042,0.025524671686620537,0.0014577888169120022,195,2.5
Mean Reversion (BB 3.0σ),-0.8998788143225984,-0.002210910191913995,0.1858947465770519,-0.011893344124157861,-0.002396647878379173,-0.9007365934770577,2106,0.0065452769052862176,0.10012118567740155,195,3.0
Mean Reversion (BB 1.5σ),-0.9999999937972786,-0.01801133412496858,0.9358421082305111,-0.01924612492488117,-0.01888279450244033,-0.9999999944925867,12976,0.17353952545788315,6.202721397544254e-09,390,1.5
Mean Reversion (BB 2.0σ),-0.9999803236061798,-0.010367546960144969,0.6322039630173892,-0.016399054049997787,-0.010992802092374899,-0.9999814088295397,9172,0.07929517099774445,1.9676393820127424e-05,390,2.0
Mean Reversion (BB 2.5σ),-0.9939493574018861,-0.004900205481461417,0.3721092607903299,-0.01316872756956862,-0.0052571884774346165,-0.9941539924390161,4434,0.027215375866819835,0.0060506425981139145,390,2.5
Mean Reversion (BB 3.0σ),-0.7376983318107823,-0.0012862503123720614,0.18070752950857755,-0.007117856770384367,-0.0014057207348629186,-0.740241226194172,1540,0.006606340713148946,0.26230166818921774,390,3.0
Mean Reversion (BB 1.5σ),-0.9999999651439742,-0.016379664897432256,0.9612666602509974,-0.017039668153221235,-0.017125674731295962,-0.9999999665275753,9160,0.18394327172249553,3.4856025860767477e-08,780,1.5
Mean Reversion (BB 2.0σ),-0.9999945362219738,-0.011586296785333405,0.6732696896404923,-0.017208998063643965,-0.012058426930693573,-0.9999957970813621,6512,0.08901958239988397,5.463778026271751e-06,780,2.0
Mean Reversion (BB 2.5σ),-0.9911270870966765,-0.00453374527540662,0.39957838772983845,-0.011346322560548395,-0.0047864588250959945,-0.9926399651966024,3666,0.03172646467267891,0.008872912903323444,780,2.5
Mean Reversion (BB 3.0σ),-0.7559338592004845,-0.0013554589829429808,0.20465128047048442,-0.006623261676285823,-0.0014340833971845457,-0.8006585430579438,1340,0.008251247037451196,0.24406614079951547,780,3.0
Mean Reversion (BB 1.5σ),-0.9999999882557705,-0.017408247986581804,1.0321816531220653,-0.01686548868014331,-0.018126158755143697,-0.9999999901297654,5720,0.21211276958717049,1.1744229500111498e-08,1950,1.5
Mean Reversion (BB 2.0σ),-0.9999841572460803,-0.01057378409312526,0.7370089622285495,-0.014346886720552912,-0.011029075177588266,-0.9999872150495679,4720,0.10757534701417062,1.5842753919792984e-05,1950,2.0
Mean Reversion (BB 2.5σ),-0.994857834279365,-0.005055894630341395,0.4532054010831124,-0.011155856965204625,-0.005236854012147844,-0.9958090047695644,2628,0.040599799252731654,0.0051421657206350115,1950,2.5
Mean Reversion (BB 3.0σ),-0.8787195489365842,-0.0020269090721326544,0.2531583736407947,-0.008006486386299142,-0.0020758123926420346,-0.8860681620241837,1082,0.012815766675190157,0.12128045106341573,1950,3.0
