split,train_start,train_end,test_start,test_end,test_bars,total_return,volatility,sharpe_ratio,max_drawdown,trades
1,2025-04-26 02:07:26.292261,2025-05-28 14:06:26.292261,2025-05-28 14:07:26.292261,2025-06-05 17:06:26.292261,11700,4.123293504364183,1.4357323071787667,10.278022350491726,-0.25125423128322066,5
2,2025-05-04 05:07:26.292261,2025-06-05 17:06:26.292261,2025-06-05 17:07:26.292261,2025-06-13 20:06:26.292261,11700,4.4114521333897825,1.4282564140754117,10.646104786809836,-0.208844169932298,3
3,2025-05-12 08:07:26.292261,2025-06-13 20:06:26.292261,2025-06-13 20:07:26.292261,2025-06-21 23:06:26.292261,11700,1.9662967364802482,1.4202781843808416,7.14172044476432,-0.40048385345393994,9
4,2025-05-20 11:07:26.292261,2025-06-21 23:06:26.292261,2025-06-21 23:07:26.292261,2025-06-30 02:06:26.292261,11700,0.08069455885977606,1.4151174727295728,1.1681511741392578,-0.4708367972199704,15
5,2025-05-28 14:07:26.292261,2025-06-30 02:06:26.292261,2025-06-30 02:07:26.292261,2025-07-08 05:06:26.292261,11700,3.719905451839196,1.4180017282165724,9.902700387357154,-0.3698701875006359,6
6,2025-06-05 17:07:26.292261,2025-07-08 05:06:26.292261,2025-07-08 05:07:26.292261,2025-07-16 08:06:26.292261,11700,0.12468097257453348,1.4302166985990097,1.40514536572309,-0.29023423966685896,14
7,2025-06-13 20:07:26.292261,2025-07-16 08:06:26.292261,2025-07-16 08:07:26.292261,2025-07-24 11:06:26.292261,11700,0.039225490539251284,1.4224587893465155,0.938227861994662,-0.5024607786542098,18
8,2025-06-21 23:07:26.292261,2025-07-24 11:06:26.292261,2025-07-24 11:07:26.292261,2025-08-01 14:06:26.292261,11700,0.47297044414302514,1.4485468341529482,2.970200150688103,-0.27504295365731807,7
9,2025-06-30 02:07:26.292261,2025-08-01 14:06:26.292261,2025-08-01 14:07:26.292261,2025-08-09 17:06:26.292261,11700,-0.004718859521003926,1.424372083251654,0.6842043727730787,-0.408014864959725,17
10,2025-07-08 05:07:26.292261,2025-08-09 17:06:26.292261,2025-08-09 17:07:26.292261,2025-08-17 20:06:26.292261,11700,1.980352357978814,1.4312179707231725,7.125601405195417,-0.33334320915283483,6
11,2025-07-16 08:07:26.292261,2025-08-17 20:06:26.292261,2025-08-17 20:07:26.292261,2025-08-25 23:06:26.292261,11700,-0.3751762394622804,1.4199769069139465,-2.072140969735846,-0.6755753820835984,18
12,2025-07-24 11:07:26.292261,2025-08-25 23:06:26.292261,2025-08-25 23:07:26.292261,2025-09-03 02:06:26.292261,11700,0.8472818323904181,1.4448896394790953,4.290664272105255,-0.2771941719152436,14
13,2025-08-01 14:07:26.292261,2025-09-03 02:06:26.292261,2025-09-03 02:07:26.292261,2025-09-11 05:06:26.292261,11700,1.2462092526616657,1.44410680160164,5.4297238049575,-0.45161441297885074,11
14,2025-08-09 17:07:26.292261,2025-09-11 05:06:26.292261,2025-09-11 05:07:26.292261,2025-09-19 08:06:26.292261,11700,1.7927916168458191,1.428161787158305,6.755379411661319,-0.2500197204953564,10
15,2025-08-17 20:07:26.292261,2025-09-19 08:06:26.292261,2025-09-19 08:07:26.292261,2025-09-27 11:06:26.292261,11700,-0.2505956202862347,1.4223227767119526,-0.992659093866391,-0.5362697988380696,17
16,2025-08-25 23:07:26.292261,2025-09-27 11:06:26.292261,2025-09-27 11:07:26.292261,2025-10-05 14:06:26.292261,11700,1.7997745660174624,1.4300131626465988,6.76326607381544,-0.2839639648593553,9
17,2025-09-03 02:07:26.292261,2025-10-05 14:06:26.292261,2025-10-05 14:07:26.292261,2025-10-13 17:06:26.292261,11700,0.9038292661983331,1.4158387398688344,4.528293872848448,-0.3178235199307816,9
18,2025-09-11 05:07:26.292261,2025-10-13 17:06:26.292261,2025-10-13 17:07:26.292261,2025-10-21 20:06:26.292261,11700,0.2842086985994232,1.4202798194325588,2.1895619457948805,-0.3197189795835458,12
