split,train_start,train_end,test_start,test_end,test_bars,total_return,volatility,sharpe_ratio,max_drawdown,trades
1,2025-04-26 02:07:26.292261,2025-05-28 14:06:26.292261,2025-05-28 14:07:26.292261,2025-06-05 17:06:26.292261,11700,0.010566927912039059,0.16353231039442503,0.6216512982065677,-0.0352415950794636,48
2,2025-05-04 05:07:26.292261,2025-06-05 17:06:26.292261,2025-06-05 17:07:26.292261,2025-06-13 20:06:26.292261,11700,-0.04646372003985422,0.21703019020626185,-1.7330036915106513,-0.07181980148682832,54
3,2025-05-12 08:07:26.292261,2025-06-13 20:06:26.292261,2025-06-13 20:07:26.292261,2025-06-21 23:06:26.292261,11700,-0.1446869129566707,0.2621176294351555,-4.877722271248664,-0.17688779196958496,70
4,2025-05-20 11:07:26.292261,2025-06-21 23:06:26.292261,2025-06-21 23:07:26.292261,2025-06-30 02:06:26.292261,11700,-0.02321802332177436,0.18432079468555998,-0.9784311270680192,-0.05516368712267701,52
5,2025-05-28 14:07:26.292261,2025-06-30 02:06:26.292261,2025-06-30 02:07:26.292261,2025-07-08 05:06:26.292261,11700,-0.18257616280169653,0.23145094123491997,-7.201191841852073,-0.20097063186323555,64
6,2025-06-05 17:07:26.292261,2025-07-08 05:06:26.292261,2025-07-08 05:07:26.292261,2025-07-16 08:06:26.292261,11700,-0.06664637161773479,0.20467986480567732,-2.7284109679267106,-0.09055117564804388,60
7,2025-06-13 20:07:26.292261,2025-07-16 08:06:26.292261,2025-07-16 08:07:26.292261,2025-07-24 11:06:26.292261,11700,0.04325772984242793,0.11681446662794508,3.103778672797593,-0.02447036444481664,48
8,2025-06-21 23:07:26.292261,2025-07-24 11:06:26.292261,2025-07-24 11:07:26.292261,2025-08-01 14:06:26.292261,11700,-0.11064797117368685,0.24246629496704902,-3.941415867027655,-0.12888605792804253,70
9,2025-06-30 02:07:26.292261,2025-08-01 14:06:26.292261,2025-08-01 14:07:26.292261,2025-08-09 17:06:26.292261,11700,-0.030713128571696058,0.18504696900967685,-1.3237521697538324,-0.06447962135029905,48
10,2025-07-08 05:07:26.292261,2025-08-09 17:06:26.292261,2025-08-09 17:07:26.292261,2025-08-17 20:06:26.292261,11700,-0.14164396208475039,0.19551332934046595,-6.46477323379918,-0.15746509052206695,60
11,2025-07-16 08:07:26.292261,2025-08-17 20:06:26.292261,2025-08-17 20:07:26.292261,2025-08-25 23:06:26.292261,11700,-0.018666461629177733,0.18191920369909378,-0.7792532550713567,-0.05636128689148728,66
12,2025-07-24 11:07:26.292261,2025-08-25 23:06:26.292261,2025-08-25 23:07:26.292261,2025-09-03 02:06:26.292261,11700,-0.04456125679395995,0.18637446183351436,-1.961547736108143,-0.08958808353029077,46
13,2025-08-01 14:07:26.292261,2025-09-03 02:06:26.292261,2025-09-03 02:07:26.292261,2025-09-11 05:06:26.292261,11700,-0.14520678934939402,0.27950060831942763,-4.575913599846763,-0.1725349146004486,82
14,2025-08-09 17:07:26.292261,2025-09-11 05:06:26.292261,2025-09-11 05:07:26.292261,2025-09-19 08:06:26.292261,11700,-0.006198398479712819,0.13847229179002699,-0.3079501888772407,-0.06779339124443101,32
15,2025-08-17 20:07:26.292261,2025-09-19 08:06:26.292261,2025-09-19 08:07:26.292261,2025-09-27 11:06:26.292261,11700,-0.172698490819165,0.2643363348090321,-5.8927278120776005,-0.20585965409434653,78
16,2025-08-25 23:07:26.292261,2025-09-27 11:06:26.292261,2025-09-27 11:07:26.292261,2025-10-05 14:06:26.292261,11700,-0.029492681977957402,0.17128985543967737,-1.3824990762099003,-0.08463166886069189,42
17,2025-09-03 02:07:26.292261,2025-10-05 14:06:26.292261,2025-10-05 14:07:26.292261,2025-10-13 17:06:26.292261,11700,-0.13521013294369366,0.25472005196513453,-4.663463964378399,-0.16868685884150736,72
18,2025-09-11 05:07:26.292261,2025-10-13 17:06:26.292261,2025-10-13 17:07:26.292261,2025-10-21 20:06:26.292261,11700,0.03600932290255421,0.09927133210581379,3.043265342031785,-0.012030197090029154,18
