split,train_start,train_end,test_start,test_end,test_bars,total_return,volatility,sharpe_ratio,max_drawdown,trades
1,2025-04-26 02:07:26.292261,2025-05-28 14:06:26.292261,2025-05-28 14:07:26.292261,2025-06-05 17:06:26.292261,11700,1.9384594134912914,1.545203872599637,6.6328537859057,-0.39749834868764483,170
2,2025-05-04 05:07:26.292261,2025-06-05 17:06:26.292261,2025-06-05 17:07:26.292261,2025-06-13 20:06:26.292261,11700,0.5714260596153171,1.542598865721653,3.2326682329611116,-0.5679144227019568,229
3,2025-05-12 08:07:26.292261,2025-06-13 20:06:26.292261,2025-06-13 20:07:26.292261,2025-06-21 23:06:26.292261,11700,0.011396275808837286,1.5432331040008562,0.8333241785113904,-0.6521185919194271,203
4,2025-05-20 11:07:26.292261,2025-06-21 23:06:26.292261,2025-06-21 23:07:26.292261,2025-06-30 02:06:26.292261,11700,-0.3966531526435336,1.5272726182372778,-2.0156266197828776,-0.6913714009241341,275
5,2025-05-28 14:07:26.292261,2025-06-30 02:06:26.292261,2025-06-30 02:07:26.292261,2025-07-08 05:06:26.292261,11700,2.5996222485005283,1.5329334898730385,7.785756706014591,-0.43002316615917086,167
6,2025-06-05 17:07:26.292261,2025-07-08 05:06:26.292261,2025-07-08 05:07:26.292261,2025-07-16 08:06:26.292261,11700,0.6670381998255659,1.5437146851057728,3.552897479622009,-0.3370137132495554,212
7,2025-06-13 20:07:26.292261,2025-07-16 08:06:26.292261,2025-07-16 08:07:26.292261,2025-07-24 11:06:26.292261,11700,0.3849781256693616,1.5305338865133393,2.5526806370187987,-0.41664619097833233,197
8,2025-06-21 23:07:26.292261,2025-07-24 11:06:26.292261,2025-07-24 11:07:26.292261,2025-08-01 14:06:26.292261,11700,-0.3244335286282266,1.556022364897606,-1.3394539777226702,-0.5530670552245794,277
9,2025-06-30 02:07:26.292261,2025-08-01 14:06:26.292261,2025-08-01 14:07:26.292261,2025-08-09 17:06:26.292261,11700,-0.7648307228838793,1.537062103660716,-7.141917577269663,-0.795801542932791,304
10,2025-07-08 05:07:26.292261,2025-08-09 17:06:26.292261,2025-08-09 17:07:26.292261,2025-08-17 20:06:26.292261,11700,0.7972764407360107,1.5409001265960338,3.9666610990166493,-0.46759086317727583,167
11,2025-07-16 08:07:26.292261,2025-08-17 20:06:26.292261,2025-08-17 20:07:26.292261,2025-08-25 23:06:26.292261,11700,0.25983192434782176,1.5388619257716238,2.0303449579655606,-0.46517715545857463,201
12,2025-07-24 11:07:26.292261,2025-08-25 23:06:26.292261,2025-08-25 23:07:26.292261,2025-09-03 02:06:26.292261,11700,-0.24654728571309092,1.564022460100115,-0.7385075695803265,-0.6010816495654869,238
13,2025-08-01 14:07:26.292261,2025-09-03 02:06:26.292261,2025-09-03 02:07:26.292261,2025-09-11 05:06:26.292261,11700,-0.5024391401820204,1.5558121450990332,-2.991092691397765,-0.6443858971128339,268
14,2025-08-09 17:07:26.292261,2025-09-11 05:06:26.292261,2025-09-11 05:07:26.292261,2025-09-19 08:06:26.292261,11700,-0.21495369834968936,1.541363712274917,-0.5484050638052691,-0.49536029347520133,263
15,2025-08-17 20:07:26.292261,2025-09-19 08:06:26.292261,2025-09-19 08:07:26.292261,2025-09-27 11:06:26.292261,11700,0.009183340830372755,1.5368546408953845,0.8183368110892273,-0.5348915666599942,301
16,2025-08-25 23:07:26.292261,2025-09-27 11:06:26.292261,2025-09-27 11:07:26.292261,2025-10-05 14:06:26.292261,11700,1.7461572052107845,1.544422552092423,6.267250070232086,-0.2937191936010845,179
17,2025-09-03 02:07:26.292261,2025-10-05 14:06:26.292261,2025-10-05 14:07:26.292261,2025-10-13 17:06:26.292261,11700,-0.7557730854639113,1.5271432943794379,-6.990393206062584,-0.774727828450758,271
18,2025-09-11 05:07:26.292261,2025-10-13 17:06:26.292261,2025-10-13 17:07:26.292261,2025-10-21 20:06:26.292261,11700,1.0181803049508615,1.5318735453363026,4.616627719434229,-0.5594062612108874,140
